District_N,party,Lean,Dallet.margin,Dallet.pct,Walker14.pct,Clinton.pct,Trump.pct,Obama.pct,Romney.pct,Lean_pres,Lean_pres.ass
68,Rep,-0.08582306383350981,0.10431485310341015,0.5521574265517051,0.5359071132777691,0.4126442047394944,0.5234684103119404,0.5204073027785976,0.4660159379348147,NA,-0.07
92,Rep,-0.0868407135538364,0.062391521996853605,0.5311957609984268,0.5365677568406613,0.3935967695413902,0.5500144216902221,0.5425191815856778,0.4444024645431295,NA,-0.09
21,Rep,-0.08857755739843973,-0.02967700160330078,0.4851614991983496,0.5733396770311494,0.44091918596745683,0.4952862258079137,0.4819911837436835,0.5064616707880873,NA,-0.05
50,Rep,-0.10851752589999258,-0.030423337631173608,0.48478833118441317,0.5353710578357561,0.38128191533889555,0.5656165415631889,0.5376232485729112,0.44984022068664137,NA,-0.12
37,Rep,-0.11215413807692548,0.005366303001373085,0.5026831515006865,0.5731157548720357,0.42218952324896997,0.5088679615460074,0.4774657214085385,0.5108094421938298,NA,-0.07
62,Rep,-0.1141550605323572,-0.06588242045679715,0.4670587897716014,0.5640172710049787,0.4356146550120885,0.5097080156220941,0.48736090122269543,0.5028678389888721,NA,-0.06
85,Rep,-0.12775265155066837,0.06817601893208647,0.5340880094660433,0.5717789977806331,0.4170752206191343,0.5216416865107157,0.49684683651707295,0.4891645836677598,NA,-0.08
88,Rep,-0.13003190554901128,0.14714193580063506,0.5735709679003175,0.567242071457246,0.4355624675997926,0.4975635044064282,0.4934209163057668,0.4955345116973,NA,-0.05
14,Rep,-0.1310430374801157,0.029931503474104337,0.5149657517370522,0.5680804532382773,0.5086337065885272,0.42111557954222667,0.46829627949183306,0.5221614110707804,NA,0.05
30,Rep,-0.13644304388787762,0.19282989608758871,0.5964149480437944,0.5698288159771755,0.4045009985150289,0.5124942393363715,0.4526115759191322,0.5297579772493336,NA,-0.1
4,Rep,-0.14462711463367367,0.1545853278246111,0.5772926639123055,0.5726718015404622,0.4254378136094088,0.5089149362368854,0.4858952669473187,0.5019081716961089,NA,-0.07
41,Rep,-0.1466086640658331,-0.09929459207364294,0.45035270396317856,0.5924349267214766,0.3428127959591708,0.6052036199095022,0.475103467777178,0.5129174057222179,NA,-0.21
70,Rep,-0.15425643321420657,0.03695341986528483,0.5184767099326424,0.55710837250667,0.382031377011868,0.5565355226792391,0.4950872919204222,0.48901745838408445,NA,-0.13
1,Rep,-0.1585990475453505,0.11033023895652955,0.5551651194782647,0.5811291746149247,0.39919902739040264,0.5441607666452121,0.49071718924572705,0.49739700953241256,NA,-0.11
67,Rep,-0.15999585605307276,0.00912183088066465,0.5045609154403323,0.5625380991964533,0.3722235211596914,0.5709184432588688,0.48936905790838375,0.49669403630077785,NA,-0.15
55,Rep,-0.1602620415369322,0.1017038623832277,0.5508519311916138,0.5914626057888732,0.40450970586898216,0.5200027276446788,0.46815962640628317,0.5133517299936319,NA,-0.1
29,Rep,-0.16530563400241374,0.10987454384112877,0.5549372719205643,0.5681356696999323,0.3692615275598522,0.5531710279900794,0.4645399149982078,0.5145680782426135,NA,-0.15
27,Rep,-0.16947172351634876,-0.027639454324533075,0.48618027283773346,0.6181526185039271,0.40049572894688323,0.5270295184054735,0.46668900540071745,0.5218393976426066,NA,-0.11
61,Rep,-0.17142153575992833,0.024241794085469948,0.512120897042735,0.5838360489372498,0.396429931051986,0.546085190981769,0.4704785581106277,0.5177128651336234,NA,-0.12
13,Rep,-0.17311043054390024,-0.0013569446450905076,0.49932152767745475,0.5995859775341907,0.4678452360063169,0.45645434871614904,0.43737530481046333,0.5506123919308358,NA,-0.02
3,Rep,-0.18297153555510445,0.07751786553035728,0.5387589327651786,0.6044591021832156,0.39302613236997624,0.5418294622347005,0.4692925729962767,0.5155790711346266,NA,-0.12
72,Rep,-0.18697342456240412,-0.011530304876639419,0.49423484756168024,0.5601452698712649,0.36131759218772774,0.5904872953408152,0.48513458741625537,0.501466275659824,NA,-0.18
63,Rep,-0.18891816931528685,-0.08433046398240468,0.4578347680087977,0.5967079166765635,0.3932506065306447,0.553732649246311,0.4497242098986285,0.5407722122838402,NA,-0.14
26,Rep,-0.19250436198344345,-0.11512557237049159,0.4424372138147542,0.6289326019796986,0.38816196167319184,0.5384555944776427,0.45255992752381186,0.5364951886584559,NA,-0.13
34,Rep,-0.19642081674318673,-0.027317220108051543,0.48634138994597426,0.5946819664492078,0.3515267355703431,0.5961347869177404,0.4535335110612226,0.5342126186801366,NA,-0.2
75,Rep,-0.206714319612876,-0.08362479547134782,0.4581876022643261,0.5795709478407179,0.34087591240875914,0.6064389989572472,0.4721577423645706,0.5118802326491223,NA,-0.21
86,Rep,-0.21222729852838998,0.0022412889585280427,0.501120644479264,0.6156793398172709,0.376181854757594,0.5686984510158922,0.454225870573511,0.5340131046160642,NA,-0.16
28,Rep,-0.21704697010339596,-0.10027344671715455,0.4498632766414228,0.5925911559348332,0.3273798109847966,0.6135049993151623,0.4377685973327418,0.544791637785233,NA,-0.24
56,Rep,-0.2193922219809524,0.02815588866102181,0.5140779443305109,0.6221809087488657,0.37617566198813485,0.5630878309940675,0.4387775606013554,0.5460606835577151,NA,-0.17
53,Rep,-0.2198112999857372,0.011086654461925138,0.5055433272309625,0.5906417730296104,0.3661140179453235,0.5709722835108954,0.45717336126666935,0.5298738971032594,NA,-0.17
84,Rep,-0.22492845786013482,-0.15046894591657617,0.42476552704171194,0.6267483054491839,0.40382947726247875,0.531513406639148,0.4179780089544377,0.5720799315248881,NA,-0.13
15,Rep,-0.23149305440992782,-0.11598427112815907,0.4420078644359205,0.6233718834827436,0.41857518573266017,0.5089362845789099,0.43020835218941766,0.558604710099017,NA,-0.1
38,Rep,-0.2450293591420093,-0.10759874958508187,0.44620062520745907,0.6385592251574419,0.3657569025706125,0.5695193765647589,0.4111451316595224,0.5779021957833961,NA,-0.19
