CNTY_NAME,MCD_NAME,STR_WARDS,CTV,Dallet,total,dallet_pct
bayfield,cable,0001,t,100,174,0.5747126436781609
bayfield,clover,0001,t,66,98,0.673469387755102
bayfield,delta,0001,t,47,101,0.46534653465346537
bayfield,drummond,0001,t,69,119,0.5798319327731093
bayfield,eileen,0001,t,91,178,0.5112359550561798
bayfield,grandview,0001,t,66,102,0.6470588235294118
bayfield,hughes,0001,t,80,155,0.5161290322580645
bayfield,kelly,0001,t,44,88,0.5
bayfield,keystone,0001,t,39,73,0.5342465753424658
bayfield,lincoln,0001,t,41,75,0.5466666666666666
bayfield,mason,0001,t,37,73,0.5068493150684932
bayfield,namakagon,0001,t,50,77,0.6493506493506493
bayfield,orienta,0001,t,25,42,0.5952380952380952
bayfield,oulu,0001,t,75,153,0.49019607843137253
bayfield,pilsen,0001,t,46,64,0.71875
bayfield,portwing,0001,t,102,152,0.6710526315789473
bayfield,tripp,0001,t,33,56,0.5892857142857143
bayfield,washburn,0001,t,138,184,0.75
bayfield,mason,0001,v,11,16,0.6875
bayfield,bayfield,0001,c,29.5,34.5,0.855072463768116
bayfield,bayfield,0002,c,40,43,0.9302325581395349
bayfield,bayfield,0004,c,56,60,0.9333333333333333
bayfield,washburn,0001,c,222,275,0.8072727272727273
bayfield,washburn,0002,c,84,98,0.8571428571428571
bayfield,washburn,0003,c,70,85,0.8235294117647058
bayfield,washburn,0004,c,161,224,0.71875
brown,glenmore,0001,t,44,119,0.3697478991596639
brown,glenmore,0002,t,27,66,0.4090909090909091
brown,ledgeview,0001,t,10,21,0.47619047619047616
brown,newdenmark,0003,t,37,78,0.47435897435897434
brown,rockland,0001,t,32,88,0.36363636363636365
brown,wrightstown,0001,t,73,150,0.4866666666666667
brown,allouez,0003,v,105,181,0.580110497237569
brown,allouez,0004,v,300,485,0.6185567010309279
brown,ashwaubenon,0007,v,115,232,0.4956896551724138
brown,ashwaubenon,0008,v,131,212,0.6179245283018868
brown,howard,0013,v,148,276,0.5362318840579711
brown,howard,0014,v,55,150,0.36666666666666664
brown,howard,0015,v,230,472,0.4872881355932203
brown,howard,0016,v,113,205,0.551219512195122
brown,howard,0018,v,96,163,0.588957055214724
