Precinct,Total.x,Trump,Clinton,trump_pct,clinton_pct,Total.y,Jones,Moore,jones_pct,moore_pct,change_dem
COLENEW RIVER CH CHRIST,160,146,11,0.9125,0.06875,86,12,74,0.13953488372093023,0.8604651162790697,0.07078488372093023
COLETA VALLEY FIRE,144,130,9,0.9027777777777778,0.0625,82,18,63,0.21951219512195122,0.7682926829268293,0.15701219512195122
COLLEGE AVE ELEM PRCT22,507,314,166,0.6193293885601578,0.32741617357001973,244,116,125,0.47540983606557374,0.5122950819672131,0.147993662495554
COLLINS VT CTRMT VERNON,249,232,16,0.9317269076305221,0.0642570281124498,177,14,161,0.07909604519774012,0.9096045197740112,0.014839017085290326
COLLINSVLNATL GD ARMORY,514,349,134,0.6789883268482491,0.2607003891050584,269,109,153,0.4052044609665427,0.5687732342007435,0.14450407186148434
COLONY TOWN HALL,297,97,189,0.3265993265993266,0.6363636363636364,196,162,33,0.826530612244898,0.1683673469387755,0.19016697588126164
COLUMBIANA REC BUILDING,2299,1779,420,0.7738147020443671,0.18268812527185732,1400,423,956,0.30214285714285716,0.6828571428571428,0.11945473187099984
COMM CH COTTONDALE,1441,967,403,0.6710617626648161,0.27966689798750866,945,407,523,0.4306878306878307,0.5534391534391534,0.15102093270032202
COMMUNITY FELLOWSHIP,2568,1610,702,0.6269470404984424,0.2733644859813084,1946,937,935,0.48150051387461457,0.48047276464542654,0.20813602789330615
COMMUNITY LIFE BLDG,980,49,925,0.05,0.9438775510204082,813,788,24,0.9692496924969249,0.02952029520295203,0.025372141476516785
